cadence_days,scenario,final_N,dev_from_target,n_adjustments,at_floor_steps,at_ceiling_steps,total_emission,emission_volatility,response_time_days,final_P
7,bull,11934,0.1934,103,1104,0,148834506.0,78798.1,,9.711033
7,bear,9394,0.0606,230,217,0,221002217.0,68585.7,25.0,0.352883
7,competitor,11934,0.1934,127,936,0,164685208.0,78929.7,6.0,9.036825
7,regulatory,11934,0.1934,168,656,0,153499271.0,79443.1,6.0,19.161126
14,bull,11934,0.1934,75,775,0,171878121.0,75676.8,,9.708886
14,bear,5536,0.4464,130,0,0,277319743.0,65889.0,46.0,0.116094
14,competitor,11559,0.1559,123,112,0,206997571.0,68353.3,6.0,2.431533
14,regulatory,9152,0.0848,112,280,0,193860697.0,78151.2,34.0,1.266728
21,bull,11934,0.1934,65,460,0,194250940.0,69880.0,,9.702491
21,bear,6904,0.3096,86,0,0,285731126.0,47020.9,39.0,0.187206
21,competitor,10625,0.0625,82,124,0,245636659.0,68455.5,6.0,2.569563
21,regulatory,9470,0.053,86,0,0,237131023.0,65629.3,48.0,1.343889
30,bull,11934,0.1934,59,55,0,218795125.0,57802.7,,9.674356
30,bear,6817,0.3183,60,0,0,262349370.0,43759.9,30.0,0.214891
30,competitor,11820,0.182,60,0,0,243841460.0,52284.8,30.0,2.518369
30,regulatory,11444,0.1444,60,0,0,251513125.0,48615.2,60.0,2.123458
