sweep_param,param_value,scenario,final_N,dev_from_target,mad,final_C,C_change_pct,final_T,slashed_total,final_P
slash_downtime,0.02,bull,11934,0.1934,2244.0,102943961.0,-48.4,418617939.0,268617939,9.700104
slash_downtime,0.02,bear,3280,0.672,3122.0,260363844.0,30.7,396726783.0,246744139,0.09274
slash_downtime,0.02,competitor,9506,0.0494,1754.0,67962160.0,-65.9,490093666.0,340093666,1.767563
slash_downtime,0.02,regulatory,11738,0.1738,1984.0,123306048.0,-38.1,451359584.0,301359584,3.922266
slash_downtime,0.05,bull,11934,0.1934,2244.0,97693029.0,-51.0,423887141.0,273887141,9.706975
slash_downtime,0.05,bear,8649,0.1351,1956.0,140878462.0,-29.2,435148783.0,285148783,0.385414
slash_downtime,0.05,competitor,11475,0.1475,1656.0,48757586.0,-75.5,497002940.0,347002940,4.340226
slash_downtime,0.05,regulatory,10403,0.0403,1883.0,104737909.0,-47.4,466332629.0,316332629,1.880362
slash_downtime,0.1,bull,11934,0.1934,2244.0,95776493.0,-51.9,425812684.0,275812684,9.708886
slash_downtime,0.1,bear,5536,0.4464,2702.0,207760738.0,4.5,419168194.0,269168194,0.116094
slash_downtime,0.1,competitor,11559,0.1559,1801.0,52799265.0,-73.4,503901351.0,353901351,2.431533
slash_downtime,0.1,regulatory,9152,0.0848,1875.0,96839913.0,-51.3,446653880.0,296653880,1.266728
slash_downtime,0.2,bull,11934,0.1934,2244.0,94632883.0,-52.3,426962513.0,276962513,9.70989
slash_downtime,0.2,bear,4676,0.5324,2520.0,213759863.0,7.8,432068036.0,282068036,0.157816
slash_downtime,0.2,competitor,9148,0.0852,1832.0,70167161.0,-64.6,483980710.0,333980710,1.346486
slash_downtime,0.2,regulatory,9631,0.0369,1993.0,87046694.0,-56.1,451244014.0,301244014,1.588865
slash_downtime,0.3,bull,11934,0.1934,2244.0,94188684.0,-52.4,427409403.0,277409403,9.710259
slash_downtime,0.3,bear,7527,0.2473,2423.0,177537190.0,-10.2,439166556.0,289166556,0.30788
slash_downtime,0.3,competitor,8994,0.1006,1753.0,67364441.0,-65.9,483685543.0,333685543,1.254545
slash_downtime,0.3,regulatory,11115,0.1115,1904.0,80443827.0,-59.3,458407768.0,308407768,3.733972
slash_fraud,0.2,bull,11934,0.1934,2183.0,126323658.0,-36.7,384297690.0,234297690,6.56365
slash_fraud,0.2,bear,5077,0.4923,2304.0,181778995.0,-8.9,395349149.0,245349149,0.118214
slash_fraud,0.2,competitor,10161,0.0161,1578.0,82512713.0,-58.6,452174198.0,302174198,2.091962
slash_fraud,0.2,regulatory,11474,0.1474,2072.0,146221175.0,-26.7,429762368.0,279762368,1.684405
slash_fraud,0.4,bull,11934,0.1934,2183.0,126313795.0,-36.6,384308329.0,234308329,6.563662
slash_fraud,0.4,bear,6330,0.367,1790.0,192007658.0,-3.6,394323358.0,244323358,0.17984
slash_fraud,0.4,competitor,8854,0.1146,1548.0,94095741.0,-52.8,449011600.0,299011600,0.945395
slash_fraud,0.4,regulatory,10957,0.0957,1730.0,124944949.0,-37.3,435293409.0,285293409,1.736751
slash_fraud,0.6,bull,11934,0.1934,2183.0,126309815.0,-36.6,384312604.0,234312604,6.563667
slash_fraud,0.6,bear,6330,0.367,1790.0,191986254.0,-3.6,394345001.0,244345001,0.179869
slash_fraud,0.6,competitor,10354,0.0354,1536.0,93879882.0,-52.8,447820138.0,297820138,1.869166
slash_fraud,0.6,regulatory,8035,0.1965,2133.0,203658445.0,2.3,409892937.0,259892937,0.418625
slash_fraud,0.8,bull,11934,0.1934,2183.0,126308691.0,-36.5,384313885.0,234313885,6.563668
slash_fraud,0.8,bear,5656,0.4344,1775.0,189854799.0,-4.6,395092153.0,245092153,0.129219
slash_fraud,0.8,competitor,10354,0.0354,1536.0,93863148.0,-52.8,447837050.0,297837050,1.86976
slash_fraud,0.8,regulatory,8207,0.1793,2439.0,231618778.0,16.4,401736021.0,251736021,0.375773
slash_fraud,1.0,bull,11934,0.1934,2244.0,95776493.0,-51.9,425812684.0,275812684,9.708886
slash_fraud,1.0,bear,5536,0.4464,2702.0,207760738.0,4.5,419168194.0,269168194,0.116094
slash_fraud,1.0,competitor,11559,0.1559,1801.0,52799265.0,-73.4,503901351.0,353901351,2.431533
slash_fraud,1.0,regulatory,9152,0.0848,1875.0,96839913.0,-51.3,446653880.0,296653880,1.266728
